id,created_at,question,explanation,tags,type,answers
3,2024-06-12T17:15:39,"Какой тип данных в JavaScript может изменить свой примитивный тип при выполнении операций, таких как сложение или умножение?","Строки (`String`) в JavaScript могут неявно преобразовываться в числа при выполнении арифметических операций, таких как сложение или умножение. Например: `'5' * 2` преобразует строку `'5'` в число и вернёт `10`. Это поведение называется неявным приведением типов (type coercion).","[""JavaScript""]",message,"[{""text"":""String, когда участвует в операции с числом."",""correct"":true},{""text"":""Boolean, при использовании в арифметических операциях.""},{""text"":""Object, при присваивании новых свойств.""},{""text"":""Null, при сложении с объектами.""}]"
5,2024-06-12T17:15:50,В каком случае замыкание в JavaScript может привести к неожиданным результатам при использовании внутри цикла for?,"При использовании var в цикле создаётся одна переменная на весь цикл, и замыкания ссылаются на одно и то же значение. let создаёт новую переменную на каждую итерацию, что предотвращает неожиданные эффекты.","[""JavaScript"",""замыкание""]",message,"[{""text"":""При создании функций в цикле без использования let для счётчика."",""correct"":true},{""text"":""При использовании стрелочных функций вместо функциональных выражений.""},{""text"":""При вызове внешних функций, не связанных с циклом.""},{""text"":""При присваивании значений счётчика объекту вне цикла.""}]"
6,2024-06-12T17:15:52,"Какой механизм в Virtual DOM предотвращает избыточные перерисовки, повышая производительность приложений на React?","Virtual DOM в React сравнивает новое дерево компонентов с предыдущим (diffing), и обновляет только изменённые части, минимизируя перерисовки и повышая производительность.","[""React"",""Virtual DOM"",""DOM""]",message,"[{""text"":""Полное перестроение дерева при любом изменении.""},{""text"":""Сравнение текущего состояния с предыдущим при обновлении."",""correct"":true},{""text"":""Асинхронная запись изменений в реальный DOM.""},{""text"":""Кеширование всех компонентов на стороне сервера.""}]"
7,2024-06-12T17:15:54,Какое ключевое поведение отличает let от var в JavaScript при использовании в циклах?,"let создаёт переменную с блочной областью видимости, в отличие от var, которая имеет функциональную область. Это особенно важно в циклах и асинхронном коде, чтобы избежать утечек или переиспользования переменных.","[""JavaScript"",""let"",""var""]",message,"[{""text"":""let поддерживает глобальную область видимости, в то время как var - нет.""},{""text"":""let приводит к ошибке, если объявляется повторно в том же блоке.""},{""text"":""let обеспечивает блочную область видимости, предотвращая утечки переменных."",""correct"":true},{""text"":""let автоматически инициализирует переменные значением undefined.""}]"
9,2024-06-16T19:07:10,"🤔 Какой атрибут HTML используется для определения стилей, написанных прямо в элементе?",,"[""HTML""]",message,"[{""text"":""style""},{""text"":""class""},{""text"":""styles""},{""text"":""stylesheet""}]"
10,2024-06-17T12:07:08,"🤔 Какой селектор CSS выберет все элементы <p>, которые являются прямыми потомками <div>?",,"[""CSS""]",message,"[{""text"":""div p""},{""text"":""div > p""},{""text"":""div + p""},{""text"":""div ~ p""}]"
11,2024-06-17T19:07:13,"🤔 Какой объект JavaScript обеспечивает функциональность, связанную с браузером и веб-страницами?",,"[""JavaScript""]",message,"[{""text"":""Document""},{""text"":""Window""},{""text"":""Screen""},{""text"":""Location""}]"
12,2024-06-18T12:07:09,🤔 Какой тег HTML используется для создания выпадающего списка?,,"[""HTML""]",message,"[{""text"":""<dropdown>""},{""text"":""<select>""},{""text"":""<list>""},{""text"":""<option>""}]"
13,2024-06-18T19:07:13,🤔 то делает CSS свойство z-index?,,"[""CSS""]",message,"[{""text"":""Изменяет размер элемента""},{""text"":""Контролирует прозрачность элемента""},{""text"":""Управляет порядком наложения элементов""},{""text"":""Задаёт положение элемента на странице""}]"
16,2024-06-20T04:41:01,"В чем ключевое отличие между var и const при объявлении переменных в JavaScript, особенно в контексте их начальной инициализации?",,"[""JavaScript"",""var"",""const""]",message,"[{""text"":""var может быть объявлен без инициализации, const требует начального значения.""},{""text"":""const поддерживает глобальную область видимости, var - нет.""},{""text"":""const и var оба поддерживают повторное объявление в одной области видимости.""},{""text"":""var автоматически инициализируется значением null, const - значением undefined.""}]"
17,2024-06-20T04:42:01,"Какое поведение Promise в JavaScript будет наблюдаться, если обработчик в then() возвращает новый Promise?",,"[""JavaScript"",""Promise""]",message,"[{""text"":""Всегда вызывается следующий catch() в цепочке.""},{""text"":""Исходный Promise будет отклонён с тем же значением, что и возвращаемый.""},{""text"":""Возвращаемый Promise определяет состояние и результат следующего then().""},{""text"":""Возвращаемый Promise игнорируется, и then() возвращает исходное значение.""}]"
19,2024-06-20T04:43:01,"Какой метод изоляции стилей предотвращает конфликты CSS в компонентном подходе, используя уникальные идентификаторы классов?",,"[""CSS""]",message,"[{""text"":""Использование инлайн стилей в HTML элементах.""},{""text"":""Применение CSS модулей в современных фреймворках.""},{""text"":""Объединение всех стилей в один глобальный CSS файл.""},{""text"":""Установка строгих правил внутри общих стилевых файлов.""}]"
20,2024-06-20T04:43:01,Какой метод JavaScript позволяет явно устанавливать контекст (this) и передавать аргументы в виде массива?,,"[""JavaScript"",""this""]",message,"[{""text"":""call принимает список аргументов, не в массиве.""},{""text"":""apply использует массив аргументов для вызова функции.""},{""text"":""bind создаёт новую функцию и принимает аргументы как список.""},{""text"":""call и bind оба принимают аргументы только как список.""}]"
22,2024-06-20T19:07:14,🤔 Какой тег HTML используется для создания нумерованного списка?,,"[""HTML""]",message,"[{""text"":""<ul>""},{""text"":""<ol>""},{""text"":""<li>""},{""text"":""<dl>""}]"
24,2024-06-21T12:07:11,🤔 Какой CSS-свойство используется для создания градиентного фона?,,"[""CSS""]",message,"[{""text"":""background-color""},{""text"":""background-image""},{""text"":""border-style""},{""text"":""filter""}]"
25,2024-06-21T19:07:09,"🤔 Какой атрибут HTML определяет исполняемый JavaScript файл, который должен быть загружен в браузер?",,"[""JavaScript"",""HTML""]",message,"[{""text"":""href""},{""text"":""src""},{""text"":""type""},{""text"":""rel""}]"
27,2024-06-22T13:07:07,🤔 Какой JavaScript API предоставляет методы для манипуляции размерами и положением окон браузера?,,"[""JavaScript"",""API""]",message,"[{""text"":""Document Object Model (DOM)""},{""text"":""Browser Object Model (BOM)""},{""text"":""Console API""},{""text"":""XMLHttpRequest""}]"
29,2024-06-22T19:07:09,🤔 Какой HTML тег используется для организации навигационных ссылок в веб-документе?,,"[""HTML""]",message,"[{""text"":""<div>""},{""text"":""<span>""},{""text"":""<header>""},{""text"":""<nav>""}]"
31,2024-06-23T12:07:11,🤔 Какая функция в JavaScript часто используется для асинхронного запроса данных с сервера без перезагрузки страницы?,,"[""JavaScript""]",message,"[{""text"":""fetch()""},{""text"":""call()""},{""text"":""bind()""},{""text"":""send()""}]"
37,2024-06-23T19:07:12,🤔 Какой CSS-свойство используется для добавления тени к элементу?,,"[""CSS""]",message,"[{""text"":""text-shadow""},{""text"":""box-shadow""},{""text"":""border-shadow""},{""text"":""shadow""}]"
43,2024-06-24T12:07:10,"🤔 Какой HTML5 элемент предназначен для вставки независимого, самодостаточного контента?",,"[""HTML""]",message,"[{""text"":""<section>""},{""text"":""<article>""},{""text"":""<aside>""},{""text"":""<div>""}]"
44,2024-06-24T19:07:07,"🤔 Какой атрибут тега `<script>` указывает, что скрипт должен выполняться асинхронно?",,[],message,"[{""text"":""defer""},{""text"":""async""},{""text"":""src""},{""text"":""type""}]"
45,2024-06-25T12:07:10,🤔 Какой JavaScript метод используется для добавления элемента в начало массива?,,"[""JavaScript""]",message,"[{""text"":""push()""},{""text"":""unshift()""},{""text"":""pop()""},{""text"":""shift()""}]"
46,2024-06-25T19:07:16,🤔 Какой объект JavaScript предоставляет функциональность для работы с URL текущего документа?,,"[""JavaScript""]",message,"[{""text"":""document.location""},{""text"":""window.location""},{""text"":""navigator.url""},{""text"":""document.href""}]"
55,2024-06-27T12:07:06,🤔 Вопрос: Какой объект в JavaScript представляет окно браузера?,,"[""JavaScript""]",message,"[{""text"":""document""},{""text"":""window""},{""text"":""screen""},{""text"":""history""}]"
56,2024-06-27T19:07:15,🤔 Вопрос: Какой тег HTML используется для вставки изображения?,,"[""HTML""]",message,"[{""text"":""<img>""},{""text"":""<image>""},{""text"":""<pic>""},{""text"":""<graphics>""}]"
57,2024-06-28T12:07:10,🤔 Вопрос: Что такое Flexbox в CSS?,,"[""CSS""]",message,"[{""text"":""Библиотека JavaScript""},{""text"":""Метод стилизации текста""},{""text"":""Одномерная модель макета для управления пространством между элементами""},{""text"":""Плагин для Photoshop""}]"
58,2024-06-28T19:07:16,🤔 Вопрос: Какое свойство CSS задает размер шрифта?,,"[""CSS""]",message,"[{""text"":""font-style""},{""text"":""font-weight""},{""text"":""font-size""},{""text"":""font-family""}]"
59,2024-06-29T12:07:09,🤔 Вопрос: Что такое jQuery?,,[],message,"[{""text"":""Язык программирования""},{""text"":""Библиотека JavaScript для упрощения манипуляций с DOM, событиями и анимацией""},{""text"":""Серверная технология""},{""text"":""Новый стандарт HTML""}]"
65,2024-07-01T12:07:12,"🤔 Вопрос: Какой HTML-тег используется для определения стилей, которые встроены непосредственно в HTML-документ?",,"[""HTML""]",message,"[{""text"":""<style>""},{""text"":""<css>""},{""text"":""<script>""},{""text"":""<link>""}]"
67,2024-07-02T12:07:11,"🤔 Вопрос: Как называется JavaScript API для хранения данных в браузере, которое позволяет веб-страницам хранить данные между сессиями пользователя?",,"[""JavaScript"",""API""]",message,"[{""text"":""WebSQL""},{""text"":""LocalStorage""},{""text"":""SessionStorage""},{""text"":""Cookies""}]"
70,2024-07-03T19:07:07,🤔 Вопрос: Какое свойство CSS используется для изменения прозрачности элемента?,,"[""CSS""]",message,"[{""text"":""opacity""},{""text"":""visibility""},{""text"":""filter""},{""text"":""transparent""}]"
